node,sample,,index_sampled,rt_sampled,index,subj_idx,study,phase,trial,offer,fair_cat,rev_con,response,rt,rev_cat,rev_centered,fair_con
wfpt.1,0,0,4,0.9596460532268876,4,1,Victim,group,37,1.3,unfair,1.0,0,-1.5990411169996201,One,-1.0,1
wfpt.1,0,1,8,2.1021044868957977,8,1,Victim,group,41,0.5,unfair,4.0,1,1.79914280200001,Four,3.0,1
wfpt.1,0,2,9,2.2667044868957977,9,1,Victim,group,42,0.6,unfair,4.0,1,0.6858741000000921,Four,3.0,1
wfpt.1,0,3,21,1.958104486895798,21,1,Victim,group,54,0.30000000000000104,unfair,4.0,1,1.2205414619998,Four,3.0,1
wfpt.1,0,4,27,1.3410408231998865,27,1,Victim,group,61,0.30000000000000104,unfair,3.0,1,1.27127151400009,Three,1.0,1
wfpt.1,0,5,36,4.826676162074754,36,1,Victim,group,70,1.1,unfair,2.0,0,-1.5137629880000503,Two,0.0,1
wfpt.1,0,6,37,2.196673700353519,37,1,Victim,group,71,0.19999999999999898,unfair,0.0,0,-2.1382530629998704,Zero,-3.0,1
wfpt.1,0,7,39,3.8200761620747548,39,1,Victim,group,73,0.4,unfair,2.0,1,3.0557329540001805,Two,0.0,1
wfpt.1,0,8,40,1.729673700353519,40,1,Victim,group,74,0.800000000000001,unfair,0.0,0,-1.46247351000011,Zero,-3.0,1
wfpt.1,0,9,46,1.1599044868957977,46,1,Victim,group,80,1.1,unfair,4.0,1,0.8515852710002041,Four,3.0,1
wfpt.1,0,10,48,0.9516408231998863,48,1,Victim,group,82,1.1,unfair,3.0,1,1.3551275560003,Three,1.0,1
wfpt.1,0,11,50,2.0042737003535187,50,1,Victim,group,85,0.5,unfair,0.0,0,-1.1666154200002,Zero,-3.0,1
wfpt.1,0,12,53,1.891473700353519,53,1,Victim,group,88,1.3,unfair,0.0,0,-1.79348648299992,Zero,-3.0,1
wfpt.1,0,13,59,-2.0659191676377078,59,1,Victim,group,94,0.19999999999999898,unfair,0.0,0,-3.5048431379996097,Zero,-3.0,1
wfpt.1,0,14,60,1.2896408231998864,60,1,Victim,group,95,0.6,unfair,3.0,1,1.9128253200001397,Three,1.0,1
wfpt.1,0,15,61,2.4102408231998864,61,1,Victim,group,96,1.1,unfair,3.0,1,3.3179213519997597,Three,1.0,1
wfpt.1,0,16,63,1.5395044868957977,63,1,Victim,group,98,1.2,unfair,4.0,1,0.7937433179999971,Four,3.0,1
wfpt.1,0,17,67,0.7715044868957978,67,1,Victim,group,102,1.1,unfair,4.0,1,1.6518605620003701,Four,3.0,1
wfpt.1,0,18,69,2.4990460532268877,69,1,Victim,group,104,1.2,unfair,1.0,0,-0.6447260850000021,One,-1.0,1
